1::relaxation: inner damping factor,1::relaxation: sweeps,1::relaxation: type,3::relaxation: damping factor,3::relaxation: sweeps,3::relaxation: type,4::relaxation: sweeps,4::relaxation: type,time
0.25,1,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.8934
0.75,2,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.919
0.25,1,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.9313
0.75,2,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.9426
0.75,1,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.9455
0.5,2,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.9573
0.75,2,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.9628
0.75,1,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.9788
0.25,1,Two-stage Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.9821
0.75,2,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,15.0281
0.75,2,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,MT Gauss-Seidel,15.0398
0.75,2,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,4,MT Gauss-Seidel,15.0461
0.25,2,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,MT Gauss-Seidel,15.0572
